id;mark;model;pre_price;color;type;pledge;status_availeble
1;Ford;Clothing Rustic;300;black;CarHome;28924;true
2;Small;Paradigm Intelligent Plastic Soap firewall;38352;sky blue;FamilyCar;8494;true
3;deposit Gorgeous Auto Loan Account;input upward-trending;36148;orange;Car;20010;false
4;mindshare;monetize deposit primary;21854;black;Bus;54468;true
5;solid state deposit;Unbranded Unions;779;magenta;Bus;13098;true
6;Licensed Metal Chair withdrawal;override;17987;silver;CarHome;75398;true
7;invoice;Industrial PCI;14385;teal;Track;11324;false
8;Quality West Virginia;Small Mouse microchip;54866;silver;CarHome;40299;true
9;Chief website;Directives Manager Granite;97509;pink;FamilyCar;24352;false
10;mission-critical;Shoal;69905;olive;CarHome;93721;true
