id;price;date_fixing;description
1;50783;2020-06-01T09:53:46;ADP blue
2;86363;2020-06-01T07:57:58;Wooden Books visionary
3;1712;2020-05-31T14:53:17;Berkshire Games hard drive
4;30932;2020-05-31T18:22:03;upward-trending recontextualize
5;46984;2020-06-01T04:41:41;Intelligent Concrete Pants AI
6;24981;2020-06-01T09:50:23;Movies
7;4013;2020-05-31T23:51:48;turquoise connecting Sierra Leone
8;55055;2020-05-31T16:53:03;Sports
9;73094;2020-06-01T14:32:37;Marketing
10;19221;2020-05-31T22:43:53;PCI framework navigating
