id;date_apply;date_end;cost;type
1;2020-06-01T13:21:35;2020-06-01T02:09:54;21122;Gold
2;2020-06-01T05:45:46;2020-06-01T00:48:47;95074;Gold
3;2020-05-31T16:29:39;2020-05-31T17:31:27;36032;Platinum
4;2020-06-01T06:09:48;2020-05-31T22:58:57;38798;Gold
5;2020-05-31T18:31:22;2020-06-01T04:50:27;65332;Silver
6;2020-06-01T13:01:23;2020-05-31T18:34:42;17768;Gold
7;2020-05-31T19:37:42;2020-05-31T21:19:58;67887;Silver
8;2020-06-01T01:11:36;2020-06-01T10:13:35;71637;Silver
9;2020-05-31T21:19:09;2020-05-31T23:05:55;54759;Silver
10;2020-05-31T21:33:45;2020-06-01T08:08:13;28813;Gold
