id;name;type;total_price;date_pick_up;date_drop_down;description
1;Mauritius Rupee;Bus;94636;2020-05-31T16:59:53;2020-06-01T02:12:32;CSS
2;Buckinghamshire auxiliary;FamilyCar;26453;2020-05-31T23:35:57;2020-06-01T09:12:14;discrete executive
3;Sleek Granite Pants;Car;19932;2020-05-31T19:21:52;2020-05-31T15:11:22;Mouse
4;invoice;FamilyCar;35204;2020-06-01T05:56:09;2020-05-31T18:39:34;robust Direct
5;turn-key instruction set migration;Bus;54108;2020-06-01T00:04:01;2020-05-31T18:59:45;Solutions Group
6;Self-enabling;SUV;26752;2020-05-31T20:31:13;2020-06-01T05:51:58;Burg 1080p e-tailers
7;Cambridgeshire ability Metrics;Track;42954;2020-06-01T02:49:04;2020-06-01T09:16:02;Ohio Iowa
8;Greenland architecture Bacon;SUV;76219;2020-06-01T01:56:37;2020-06-01T09:30:22;Bacon Total Way
9;PNG;Track;94335;2020-06-01T10:34:32;2020-05-31T18:32:38;Chair Automated Intelligent Frozen Chair
10;panel streamline Customizable;CarHome;65059;2020-06-01T10:10:11;2020-06-01T08:55:23;Montana Books
